Category,WCAG_Criterion,Keywords,Description,Do,Don't,Code_Good,Code_Bad,Severity,Level
Focus,2.4.7 Focus Visible,focus visible indicator keyboard outline ring,Ensure focus indicator is clearly visible on all interactive elements,Use focus-visible with 2px+ outline offset from element,Remove outline without replacement,":focus-visible { outline: 2px solid #2563eb; outline-offset: 2px; }",":focus { outline: none; }",High,AA
Focus,2.4.11 Focus Not Obscured,focus obscured covered hidden sticky,Ensure focused element is not obscured by sticky/fixed elements,scroll-margin-top to account for sticky headers,Fixed headers covering focused form fields,"scroll-margin-top: 80px; /* height of sticky header */","/* No scroll-margin with position:sticky header */",High,AA
Focus,2.4.12 Focus Not Obscured Enhanced,focus visible enhanced fully visible,Focused element must be fully visible (not partially hidden),Ensure entire focused element is in viewport,Allowing partial visibility of focused element,"scrollIntoView({ block: 'center' })","/* Focus hidden behind modal overlay */",Medium,AAA
Focus,2.4.13 Focus Appearance,focus appearance thickness area contrast,Focus indicator must have sufficient size and contrast,3:1 contrast ratio + 2px thickness + covers full perimeter,Thin single-side border change as only indicator,":focus-visible { outline: 3px solid #1e40af; outline-offset: 3px; }",":focus { border-bottom: 1px solid gray; }",High,AAA
Target,2.5.8 Target Size Minimum,target size minimum 24px touch click,Interactive targets must be at least 24×24px CSS pixels,min-width: 24px min-height: 24px for all interactive elements,Inline links or buttons smaller than 24px,"min-height: 24px; min-width: 24px;","font-size: 12px; /* tiny link */",High,AA
Target,2.5.5 Target Size Enhanced,target size enhanced 44px touch mobile,Interactive targets should be at least 44×44px for comfortable touch,44×44px minimum on mobile + adequate spacing between targets,Small targets close together on touch screens,"min-height: 44px; min-width: 44px; gap: 8px;","height: 20px; /* icon button */",Medium,AAA
Motion,2.3.3 Animation from Interactions,animation interaction motion triggered,Animations triggered by interaction can be disabled by users,Provide prefers-reduced-motion override for all animations,Animations that cannot be paused or disabled,"@media (prefers-reduced-motion: reduce) { * { animation: none !important; transition-duration: 0.01ms !important; } }","/* No reduced-motion media query */",High,AAA
Motion,2.2.2 Pause Stop Hide,pause stop hide auto-play carousel animation moving,Content that auto-plays can be paused stopped or hidden,Provide visible pause/stop controls for auto-playing content,Auto-playing carousels or videos without controls,"<button aria-label='Pause slideshow'>⏸</button>","<div class='carousel auto-play'> /* no pause */",High,AA
Color,1.4.1 Use of Color,color alone information status,Color is not the only means of conveying information,Use icons + text + color for states like error/success,Red border only to indicate error,"<span class='error'>❌ Invalid email</span>","<input style='border-color:red'> /* color only */",High,AA
Color,1.4.3 Contrast Minimum,contrast ratio text background 4.5 3,Text has minimum contrast ratio against background,4.5:1 for normal text + 3:1 for large text (18pt+/14pt bold),Low contrast gray text on light backgrounds,"color: #1e293b; background: #ffffff; /* 14.5:1 ratio */","color: #9ca3af; background: #f3f4f6; /* 2.2:1 ratio */",High,AA
Color,1.4.6 Contrast Enhanced,contrast enhanced 7 ratio strict,Enhanced contrast ratios for maximum readability,7:1 for normal text + 4.5:1 for large text,Decorative text below 7:1 ratio on content pages,"color: #0f172a; background: #ffffff; /* 17.8:1 ratio */","color: #6b7280; background: #ffffff; /* 4.6:1 ratio */",Medium,AAA
Color,1.4.11 Non-Text Contrast,non-text contrast ui component border icon,UI components and graphical objects have 3:1 contrast against adjacent colors,3:1 contrast for borders icons focus indicators,Low contrast borders or icons on similar backgrounds,"border: 2px solid #6b7280; /* 5.9:1 vs white */","border: 1px solid #e5e7eb; /* 1.4:1 vs white */",High,AA
Structure,1.3.1 Info and Relationships,semantic html structure heading landmark,Programmatically communicate structure and relationships,Use semantic HTML elements and ARIA landmarks,"<div> soup without semantic meaning","<nav aria-label='Main'><ul>...</ul></nav>","<div class='nav'><div>...</div></div>",High,AA
Structure,1.3.2 Meaningful Sequence,reading order dom visual logical,DOM order matches visual and logical reading order,Ensure CSS layout doesn't reorder content visually vs DOM,CSS order or flex-direction that breaks reading flow,"/* DOM matches visual order */","order: -1; /* visually first but last in DOM */",High,AA
Structure,2.4.6 Headings and Labels,headings labels descriptive hierarchy,Headings and labels describe topic or purpose,Descriptive headings in logical hierarchy (h1→h2→h3),Vague headings or skipped heading levels,"<h1>Dashboard</h1><h2>Revenue</h2><h3>Monthly</h3>","<h1>Page</h1><h3>Section</h3> /* skipped h2 */",Medium,AA
Forms,3.3.2 Labels or Instructions,label input form instruction required,Inputs have visible labels explaining required format,Visible <label> associated with each input,Placeholder-only inputs without labels,"<label for='email'>Email address</label><input id='email'>","<input placeholder='Email'> /* no label */",High,AA
Forms,3.3.1 Error Identification,error identification form validation message,Errors are clearly identified and described in text,Specific error message near the field + aria-describedby,Generic "form has errors" at top of page,"<p id='email-error' role='alert'>Enter a valid email address</p>","<p>Form has errors</p> /* at top */",High,AA
Forms,3.3.3 Error Suggestion,error suggestion correction format example,Suggest corrections when input errors are detected,Show expected format or example values near errors,Only showing "invalid" without help,"<p>Expected format: MM/DD/YYYY (e.g. 12/25/2025)</p>","<p>Invalid date</p> /* no help */",Medium,AA
Forms,3.3.8 Accessible Authentication,accessible authentication captcha password,Authentication doesn't rely solely on cognitive function tests,Allow paste in password fields + support password managers,Blocking paste in password fields or using text CAPTCHAs,"<input type='password' autocomplete='current-password'>","<input onpaste='return false'> /* blocks paste */",High,AA
Cognitive,3.2.6 Consistent Help,consistent help location support contact,Help mechanisms appear in same relative order across pages,Place help link/chat in consistent location (e.g. footer or FAB),Help in different locations on different pages,"/* Help always in bottom-right corner */","/* Help in header on page A footer on page B */",Medium,AA
Cognitive,2.4.1 Bypass Blocks,skip navigation link bypass repeated,Provide skip links to bypass repeated content blocks,Hidden skip link that appears on focus before main nav,No skip navigation link,"<a href='#main' class='sr-only focus:not-sr-only'>Skip to content</a>","/* No skip link */",High,AA
Screen Reader,4.1.2 Name Role Value,aria name role value state widget,Custom components expose name role and value to assistive technology,ARIA attributes on custom widgets matching behavior,Custom widgets without ARIA,<button aria-expanded='true' aria-controls='menu'>Menu</button>,<div onclick='toggleMenu()'>Menu</div>,High,AA
Screen Reader,1.1.1 Text Alternatives,alt text image description decorative,Non-text content has text alternatives,Descriptive alt text for informative images + alt='' for decorative,"Missing alt attributes or alt='image'","<img alt='Revenue chart showing 23% growth in Q4'>","<img alt='chart'> or <img> /* no alt */",High,AA
Screen Reader,4.1.3 Status Messages,status message aria-live polite assertive,Status messages are announced by screen readers without focus change,aria-live regions for dynamic content updates,Status changes that aren't announced,"<div role='status' aria-live='polite'>3 results found</div>","<div>3 results found</div> /* not announced */",High,AA
Media,1.2.1 Audio/Video Alternatives,audio video captions transcript alternative,Pre-recorded audio/video has alternatives,Captions for video + transcripts for audio,Auto-play video without captions,"<video><track kind='captions' src='captions.vtt' srclang='en'></video>","<video autoplay> /* no captions */",High,AA
