No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Core,Use hx-get for Reads,Load content via GET requests triggered by user actions,hx-get on links buttons and form elements,Full page reloads for content that can load in-place,"<button hx-get='/api/users' hx-target='#list'>Load</button>","<a href='/users'>Load</a> /* full reload */",Medium,https://htmx.org/attributes/hx-get/
2,Core,Use hx-post for Mutations,Submit data via POST for create/update operations,hx-post on forms with proper targets,GET requests for data mutation,"<form hx-post='/api/users' hx-target='#result'>","<form action='/api/users' method='POST'> /* full page */",Medium,https://htmx.org/attributes/hx-post/
3,Core,Use hx-target for Updates,Specify which element gets updated with response,hx-target with CSS selector to target specific container,Replacing entire page or body,"hx-target='#user-list' hx-swap='innerHTML'","hx-target='body' /* replaces everything */",High,https://htmx.org/attributes/hx-target/
4,Core,Use hx-swap Strategies,Choose appropriate swap strategy for content updates,outerHTML for component replacement innerHTML for content,Using innerHTML when element structure should change,"hx-swap='outerHTML' /* replace entire element */","hx-swap='innerHTML' /* when structure matters */",Medium,https://htmx.org/attributes/hx-swap/
5,Triggers,Use hx-trigger for Events,Control when requests fire based on user interaction,hx-trigger with modifiers like changed delay throttle,Default trigger when specific timing needed,"hx-trigger='keyup changed delay:500ms'","hx-trigger='keyup' /* fires too often */",Medium,https://htmx.org/attributes/hx-trigger/
6,Triggers,Use Intersection Observer,Load content when element enters viewport,hx-trigger='revealed' or hx-trigger='intersect',Loading all content eagerly on page load,"<div hx-get='/api/data' hx-trigger='revealed'>","/* Load everything on DOMContentLoaded */",Medium,
7,Triggers,Debounce Search Inputs,Prevent excessive requests on text input,delay modifier with appropriate timing (300-500ms),No debounce on search inputs,"hx-trigger='keyup changed delay:300ms'","hx-trigger='keyup' /* request per keystroke */",High,
8,Loading,Use hx-indicator,Show loading state during requests,hx-indicator pointing to spinner element,No loading feedback during requests,"<button hx-indicator='#spinner'>Load</button><span id='spinner' class='htmx-indicator'>⏳</span>","<button hx-get='/api/data'>Load</button> /* no indicator */",High,https://htmx.org/attributes/hx-indicator/
9,Loading,Skeleton Loading Pattern,Show content placeholder during loading,Swap area with skeleton HTML from server,Empty div during loading,"Server returns skeleton HTML → then real content","hx-target='#content' /* blank during load */",Medium,
10,Progressive,Progressive Enhancement,HTMX should enhance working HTML forms,Start with standard forms that work without JS,HTMX-only forms that break without JavaScript,"<form method='POST' action='/users' hx-post='/api/users' hx-target='#result'>","<div hx-post='/api/users'> /* no fallback */",High,https://htmx.org/essays/progressive-enhancement/
11,Progressive,Use Hyperscript for Simple Logic,_hyperscript for component-level behavior,_hyperscript for toggles animation and simple state,JavaScript for simple toggle/show/hide,"<button _='on click toggle .hidden on #menu'>Menu</button>","<button onclick='document.getElementById(\"menu\").classList.toggle(\"hidden\")'>",Low,https://hyperscript.org/
12,Security,CSRF Token Support,Include CSRF tokens in mutating requests,hx-headers with CSRF token or meta tag configuration,POST/PUT/DELETE without CSRF protection,"<meta name='csrf-token' content='{{token}}'> + hx-headers config","<form hx-post='/api/data'> /* no CSRF */",High,
13,Security,Validate Server Responses,Server should return only safe HTML fragments,Return minimal HTML fragments from server,Returning executable scripts in responses,"Server returns: <div class='user-card'>safe content</div>","Server returns: <script>alert('xss')</script>",High,
14,Patterns,Active Search Pattern,Live search results as user types,hx-get with debounced trigger targeting results container,Full page search on form submit,"<input hx-get='/search' hx-trigger='keyup changed delay:300ms' hx-target='#results'>","<form action='/search' method='GET'>",Medium,https://htmx.org/examples/active-search/
15,Patterns,Infinite Scroll Pattern,Load more content on scroll to bottom,hx-trigger='revealed' on sentinel element at list end,Load all data at once or pagination links,"<div hx-get='/api/items?page=2' hx-trigger='revealed' hx-swap='afterend'>","/* Load all 1000 items at once */",Medium,https://htmx.org/examples/infinite-scroll/
