ID,Category,AI_Tell,Why_It_Reads_AI,Fix,Severity,Applies_To,Detection
AS-01,Typography,Em-dash used anywhere (headline body button quote caption alt),"Em-dash is the #1 LLM punctuation tell. Humans rarely type a true em-dash; models insert it constantly","Replace with period comma line break or regular hyphen. Zero em-dash instances allowed",Critical,All,"grep for the em-dash glyph in all rendered text"
AS-02,Color,AI purple glow as default accent,"Violet-to-indigo gradient glow is the default AI aesthetic; signals zero design intent","Use neutral base (Zinc Slate Stone) with one high-contrast singular accent < 80% saturation",High,Web/Mobile,"scan for violet/indigo gradient + box-shadow glow on hero"
AS-03,Color,Pure black #000000 backgrounds or text,"Pure black is harsh and machine-default; designers use off-black","Use off-black like zinc-950 or #0A0A0A instead of #000000",Medium,All,"grep #000 / #000000 / rgb(0,0,0)"
AS-04,Effects,Neon outer glow on cards or buttons,"Outer neon glow reads as template demo not product","Use inner borders or subtle tinted shadows instead of outer glow",Medium,Web,"scan box-shadow for high-saturation glow rings"
AS-05,Typography,Gradient text on large headers,"Gradient-filled big headlines are an overused AI flourish","Use solid color headlines; reserve gradient for one small accent if any",Medium,Web,"scan bg-clip-text / text gradient on h1/h2"
AS-06,Layout,Three equal-column feature cards,"The 3-up equal card row is the canonical AI landing filler","Vary card sizing (bento asymmetric) or change the section layout family",Medium,Web,"detect 3 sibling cards with identical width classes"
AS-07,Content,Generic placeholder names (John Doe Sarah Chan Acme Inc),"Stock filler names signal unedited AI output","Use realistic context-appropriate names or real brand references",High,All,"grep John Doe / Jane Doe / Acme / Lorem"
AS-08,Content,Fake-precise statistics (99.99% 1234567 10x),"Suspiciously precise unsourced numbers read as hallucinated","Use rounded honest figures or remove the metric if unverifiable",High,All,"scan for 99.9% / fake big numbers without source"
AS-09,Content,Startup-slop verbs (Elevate Seamless Revolutionize Unleash Empower),"These hype verbs are LLM defaults and say nothing","Write specific concrete benefit copy; cut the hype verb",Medium,All,"grep Elevate|Seamless|Revolutionize|Unleash|Empower"
AS-10,Content,Version label in hero (V0.6 BETA ALPHA) without launch context,"Decorative version badges are filler unless the brief is a launch","Remove version label unless the page is genuinely a launch announcement",Low,Web,"scan hero for V0.x / BETA / ALPHA pills"
AS-11,Layout,Section-number eyebrows (001 Capabilities),"Numbered section eyebrows are a recognizable AI pattern","Drop the number; use a plain descriptive eyebrow or none",Low,Web,"grep eyebrow text matching ^00\\d"
AS-12,Effects,Decorative status dots by default,"Random green/pulse status dots add fake liveliness","Remove decorative dots; only show status indicators tied to real state",Low,Web,"scan for small colored dot spans near labels"
AS-13,Layout,Scroll cues (Scroll down Scroll to explore),"Explicit scroll prompts are dated AI hero filler","Remove scroll cue; trust the viewport edge to imply scroll",Low,Web,"grep Scroll to explore / Scroll down"
AS-14,Layout,Locale/time/weather strip without place focus,"Time/weather strips are decorative unless the brief is place-based","Remove the strip unless location/time is core to the product",Low,Web,"scan header for clock/weather widget"
